Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,ig_url,posts,Followers,Following,category,distinct_following
152,傲嬌爸的養貓日常,5,7,3,2.51,9.7e-05,https://www.instagram.com/uni_catto/,2270,66376,109,寵物,109
153,胡采蘋-Emmy-Hu,0,0,0,0.0,0.0,https://www.instagram.com/emmy_on_earth/,334,8713,203,理財創業,203
154,LoganDBeck-小貝,7,9,3,3.52,0.000247,https://www.instagram.com/logandbeck/,1377,44979,682,旅遊,683
155,林萱-Shiuan,42,40,35,21.11,0.005796,https://www.instagram.com/1_shiuan_0/,3008,330559,1759,"美妝保養,時尚潮流",1761
156,日本藥妝失心瘋,5,0,0,2.51,0.0,https://www.instagram.com/japanuts/,4180,517852,43,"美妝保養,家庭母嬰,帶貨分潤",43
157,Campfire營火部落,11,16,10,5.53,0.002475,https://www.instagram.com/campfire_tw/,2743,39315,468,旅遊,468
158,BlaireChen-左撇子,32,28,21,16.08,0.002948,https://www.instagram.com/blairechen/,2770,221984,946,"美妝保養,時尚潮流,旅遊",949
159,莊政威-Cliff-Chuang,3,1,1,1.51,1.1e-05,https://www.instagram.com/cliffchuang3/,892,56940,198,汽機車,198
160,Candy-孟潔,13,22,10,6.53,0.001436,https://www.instagram.com/mengj215/,1611,404122,834,時尚潮流,835
161,貝莉莓,28,15,11,14.07,0.001,https://www.instagram.com/itsberrym/,762,303926,664,"遊戲電玩,表演藝術",665
162,蕭志瑋,30,22,20,15.08,0.004745,https://www.instagram.com/afunnywii/,1947,225341,991,"表演藝術,趣味搞笑",992
163,周小葳,8,22,4,4.02,0.001189,https://www.instagram.com/mayukichou/,8861,309258,1748,"時尚潮流,高階經理人",1746
164,胡子Huz,25,26,18,12.56,0.002372,https://www.instagram.com/huzihuang1989/,185,117022,371,趣味搞笑,371
165,柴犬Nana和阿楞的一天,10,0,0,5.03,0.0,https://www.instagram.com/nana_aleng/,1056,105966,0,寵物,0
166,那那大師,21,47,21,10.55,0.00595,https://www.instagram.com/tinana_master/,1273,74477,5177,趣味搞笑,5183
167,維思維,0,0,0,0.0,0.0,https://www.instagram.com/weisway18/,674,73874,7,知識教育,7
168,肉肉Neneko,1,0,0,0.5,0.0,https://www.instagram.com/neneko.n/,586,415646,74,表演藝術,74
169,上發條俱樂部,7,18,6,3.52,0.006521,https://www.instagram.com/wia627/,5234,164251,2540,"家庭母嬰,寵物,帶貨分潤",2541
170,牛排,35,23,16,17.59,0.001711,https://www.instagram.com/jam_steak/,871,386105,214,趣味搞笑,213
171,希露弟弟啃雞腿,7,53,7,3.52,0.00414,https://www.instagram.com/getwie__/,1826,48153,1038,寵物,1037
172,黃山料,4,0,0,2.01,0.0,https://www.instagram.com/iam_3636/,313,390092,1,時事討論,1
173,羚小鹿,11,10,9,5.53,0.000271,https://www.instagram.com/daiying0/,914,353699,627,"美妝保養,旅遊,表演藝術",625
174,Natalie吳斐莉,34,23,19,17.09,0.011688,https://www.instagram.com/wufeili/,3568,372383,452,"美妝保養,時尚潮流,旅遊",453
175,黃帝筱清Virus,4,7,3,2.01,0.000218,https://www.instagram.com/zxsdexz/,172,192357,899,遊戲電玩,899
176,村子裡的凱莉哥,2,9,2,1.01,0.000292,https://www.instagram.com/kellyshen40/,4589,80754,1211,"旅遊,家庭母嬰,帶貨分潤",1213
177,老王-oldwang,0,0,0,0.0,0.0,https://www.instagram.com/oldwangstock/,2229,72829,10,"趣味搞笑,時事討論",0
178,處女座媽媽的瑣碎日常,4,29,3,2.01,0.000822,https://www.instagram.com/mypink0911/,1786,83681,563,綜合其他,564
179,虎麗笑嗨嗨,2,0,0,1.01,0.0,https://www.instagram.com/hooleefun/,3628,285219,76,美食料理,76
180,老王愛說笑,1,0,0,0.5,0.0,https://www.instagram.com/oldwangstock/,2229,72829,10,理財創業,10
181,喪屍老爸,8,20,6,4.02,0.000457,https://www.instagram.com/walkerdad1228/,1301,116757,380,"家庭母嬰,趣味搞笑",381
182,尤汐伯夷,1,10,1,0.5,2.1e-05,https://www.instagram.com/boyplaymj/,1730,70600,594,遊戲電玩,596
183,崔咪Tramy,22,29,18,11.06,0.00851,https://www.instagram.com/b2btramy888888/,1798,159302,1212,時尚潮流,1212
184,Cindy-H,11,9,7,5.53,0.000167,https://www.instagram.com/cindyhhh32/,1683,182298,417,"美妝保養,時尚潮流",417
185,MR.JOE-HOBBY.tv,12,20,9,6.03,0.000295,https://www.instagram.com/mr.joehobby/,1087,47570,169,遊戲電玩,169
186,Sunnie-陸筱晴,12,22,12,6.03,0.004495,https://www.instagram.com/sunnie_cat0111/,3293,226451,1105,"美妝保養,時尚潮流,旅遊,美食料理",1102
187,Goris-Sky,8,2,2,4.02,4.4e-05,https://www.instagram.com/goris.sky/,7960,161740,196,"時尚潮流,美妝保養",195
188,依梨,5,6,4,2.51,8.7e-05,https://www.instagram.com/lebaby0v0/,551,536194,196,"時尚潮流,遊戲電玩",195
189,許允樂的老兵魂,30,36,27,15.08,0.003254,https://www.instagram.com/byleway/,7638,318515,1355,"美妝保養,時尚潮流",1356
190,鬧著玩娛樂,2,11,1,1.01,5.5e-05,https://www.instagram.com/nowyouon/,510,43933,150,"旅遊,美食料理",150
191,林淑芬2.0,4,15,2,2.01,0.000354,https://www.instagram.com/0_shufen/,1371,883571,547,綜合其他,542
192,Mom-&-Dad,9,29,9,4.52,0.002999,https://www.instagram.com/momanddad_band/,906,74943,483,家庭母嬰,482
193,Meg-今天穿什麼,28,25,23,14.07,0.001651,https://www.instagram.com/maygobla/,1504,199066,1045,"美妝保養,時尚潮流",1046
194,小凱老師,10,9,5,5.03,0.000596,https://www.instagram.com/kai_makeup_/,2085,136460,647,美妝保養,647
195,紫玥桃,0,8,0,0.0,0.0,https://www.instagram.com/skauramomo/,0,0,0,"時尚潮流,表演藝術",1689
196,鵝鵝就是鵝鵝,1,4,1,0.5,1.4e-05,https://www.instagram.com/ninggoose/,1203,107527,1001,汽機車,1001
197,安啾咪,43,49,35,21.61,0.006091,https://www.instagram.com/anjouclever/,497,385142,215,"美食料理,表演藝術",215
198,Linzin-阿哲,3,1,0,1.51,4e-06,https://www.instagram.com/linzin.yt/,1001,31005,19,3C科技,20
